,UNKNOWN,DRY,WET,OTHER,SAND_MUD_DIRT
17492075,0,1,0,0,0
17492088,0,1,0,0,0
17492094,0,1,0,0,0
17493732,0,1,0,0,0
17493750,0,1,0,0,0
17497338,0,1,0,0,0
17497341,0,1,0,0,0
17497345,0,1,0,0,0
17497347,0,1,0,0,0
17497349,0,1,0,0,0
17497427,0,1,0,0,0
17497438,0,1,0,0,0
17497443,0,1,0,0,0
17497701,0,1,0,0,0
17497702,0,1,0,0,0
17500199,0,1,0,0,0
17500442,0,1,0,0,0
17502056,0,1,0,0,0
17503844,0,1,0,0,0
17503848,0,1,0,0,0
17509827,0,1,0,0,0
17509833,0,1,0,0,0
17510581,0,1,0,0,0
17510778,0,1,0,0,0
17510780,0,1,0,0,0
17510901,0,1,0,0,0
17510911,0,1,0,0,0
17510916,0,1,0,0,0
17510918,0,1,0,0,0
17510921,0,1,0,0,0
17511022,0,1,0,0,0
17511026,0,1,0,0,0
17514287,0,0,1,0,0
17514379,0,1,0,0,0
17514390,0,1,0,0,0
17516845,0,1,0,0,0
17516846,0,1,0,0,0
17516847,0,1,0,0,0
17518061,0,0,1,0,0
17518065,0,0,1,0,0
17518118,0,0,1,0,0
17518120,0,0,1,0,0
17518579,0,0,1,0,0
17524136,0,1,0,0,0
17524167,0,0,1,0,0
17524181,0,0,1,0,0
17524224,0,0,1,0,0
17524227,0,0,1,0,0
17524228,0,1,0,0,0
17524237,0,1,0,0,0
17524425,0,1,0,0,0
17524426,0,1,0,0,0
17524440,0,1,0,0,0
17524462,0,1,0,0,0
17526081,0,1,0,0,0
17526200,0,0,1,0,0
17526202,0,0,1,0,0
17528715,0,0,1,0,0
17528735,0,0,1,0,0
17530634,0,1,0,0,0
17530772,0,1,0,0,0
17534475,0,1,0,0,0
17534506,0,1,0,0,0
17534507,0,1,0,0,0
17534529,0,1,0,0,0
17534594,0,1,0,0,0
17534615,0,1,0,0,0
17534618,0,1,0,0,0
17534621,0,1,0,0,0
17534715,0,1,0,0,0
17534720,0,0,1,0,0
17534723,0,0,1,0,0
17534739,0,0,1,0,0
17534741,0,1,0,0,0
17534743,0,0,1,0,0
17534867,0,0,1,0,0
17534965,0,1,0,0,0
17534967,0,1,0,0,0
17534969,0,1,0,0,0
17534971,0,1,0,0,0
17534974,0,1,0,0,0
17534983,0,1,0,0,0
17538904,0,1,0,0,0
17539001,0,1,0,0,0
17539004,0,1,0,0,0
17539012,0,0,1,0,0
17539182,0,1,0,0,0
17541194,0,1,0,0,0
17541198,0,1,0,0,0
17541206,0,1,0,0,0
17542641,0,1,0,0,0
17542678,0,1,0,0,0
17542681,0,1,0,0,0
17542682,0,1,0,0,0
17542683,0,1,0,0,0
17542684,0,1,0,0,0
17546204,0,1,0,0,0
17546220,0,1,0,0,0
17546421,0,1,0,0,0
17546482,0,1,0,0,0
17546485,0,1,0,0,0
17546565,0,1,0,0,0
17546587,0,1,0,0,0
17546589,0,1,0,0,0
17547464,0,1,0,0,0
17548561,0,1,0,0,0
17548567,0,1,0,0,0
17548653,0,1,0,0,0
17550479,0,0,1,0,0
17550480,0,0,1,0,0
17552568,0,0,1,0,0
17552595,0,0,1,0,0
17552597,0,0,1,0,0
17553388,0,1,0,0,0
17554464,0,1,0,0,0
17554490,0,0,1,0,0
17554499,0,1,0,0,0
17554577,0,1,0,0,0
17559021,0,1,0,0,0
17559022,0,1,0,0,0
17559222,0,1,0,0,0
17559230,0,1,0,0,0
17559253,0,1,0,0,0
17559540,0,1,0,0,0
17559544,0,1,0,0,0
17559548,0,1,0,0,0
17559552,0,1,0,0,0
17559645,0,1,0,0,0
17559646,0,0,1,0,0
17559653,0,0,1,0,0
17559702,0,0,1,0,0
17561059,0,1,0,0,0
17561099,0,1,0,0,0
17567034,0,1,0,0,0
17567036,0,1,0,0,0
17567047,0,1,0,0,0
17567050,0,1,0,0,0
17567052,0,1,0,0,0
17567054,0,1,0,0,0
17567060,0,1,0,0,0
17569437,0,1,0,0,0
17573188,0,1,0,0,0
17573346,0,1,0,0,0
17573470,0,1,0,0,0
17573562,0,1,0,0,0
17573564,0,1,0,0,0
17573565,0,1,0,0,0
17573568,0,1,0,0,0
17573570,0,1,0,0,0
17573582,0,1,0,0,0
17573663,0,1,0,0,0
17573674,0,1,0,0,0
17573675,0,1,0,0,0
17573685,0,1,0,0,0
17573687,0,1,0,0,0
17573692,0,1,0,0,0
17573791,0,0,1,0,0
17574619,0,0,1,0,0
