Crash_ID,Weather
17492075,1 - CLEAR
17492088,2 - CLOUDY
17492094,1 - CLEAR
17534475,1 - CLEAR
17493732,1 - CLEAR
17493750,1 - CLEAR
17497338,1 - CLEAR
17497341,1 - CLEAR
17500442,1 - CLEAR
17553388,1 - CLEAR
17497345,1 - CLEAR
17497347,1 - CLEAR
17497349,1 - CLEAR
17497427,1 - CLEAR
17497438,1 - CLEAR
17514287,1 - CLEAR
17497443,2 - CLOUDY
17497701,1 - CLEAR
17497702,1 - CLEAR
17500199,1 - CLEAR
17502056,1 - CLEAR
17503844,1 - CLEAR
17503848,1 - CLEAR
17509827,1 - CLEAR
17509833,1 - CLEAR
17510581,1 - CLEAR
17510778,1 - CLEAR
17510780,1 - CLEAR
17510901,1 - CLEAR
17510911,1 - CLEAR
17510916,1 - CLEAR
17510918,1 - CLEAR
17510921,1 - CLEAR
17511022,1 - CLEAR
17511026,1 - CLEAR
17542641,2 - CLOUDY
17514379,1 - CLEAR
17514390,1 - CLEAR
17516845,1 - CLEAR
17524136,1 - CLEAR
17516846,2 - CLOUDY
17516847,1 - CLEAR
17518061,1 - CLEAR
17518065,3 - RAIN
17518118,3 - RAIN
17518120,3 - RAIN
17518579,3 - RAIN
17524167,3 - RAIN
17524181,2 - CLOUDY
17524224,1 - CLEAR
17524227,3 - RAIN
17524228,2 - CLOUDY
17524237,1 - CLEAR
17576595,2 - CLOUDY
17524425,1 - CLEAR
17524426,1 - CLEAR
17526081,1 - CLEAR
17530634,2 - CLOUDY
17541194,1 - CLEAR
17524440,1 - CLEAR
17524462,1 - CLEAR
17526200,3 - RAIN
17526202,3 - RAIN
17528715,1 - CLEAR
17528735,6 - FOG
17530772,1 - CLEAR
17534506,1 - CLEAR
17630038,2 - CLOUDY
18075472,2 - CLOUDY
17534507,1 - CLEAR
17534529,1 - CLEAR
17534594,1 - CLEAR
17534615,1 - CLEAR
17534618,1 - CLEAR
17541198,1 - CLEAR
17573188,1 - CLEAR
17882547,1 - CLEAR
17534621,1 - CLEAR
17534715,1 - CLEAR
17534720,3 - RAIN
17534723,3 - RAIN
17534739,1 - CLEAR
17534741,1 - CLEAR
17534743,2 - CLOUDY
17534867,3 - RAIN
17534965,1 - CLEAR
17534967,1 - CLEAR
17534969,1 - CLEAR
17534971,1 - CLEAR
17534974,1 - CLEAR
17534983,1 - CLEAR
17538904,1 - CLEAR
17539001,1 - CLEAR
17539004,1 - CLEAR
17539012,3 - RAIN
17541206,1 - CLEAR
17539182,1 - CLEAR
17542678,1 - CLEAR
17542681,1 - CLEAR
17542682,1 - CLEAR
17542683,1 - CLEAR
17542684,1 - CLEAR
17546204,1 - CLEAR
17546220,1 - CLEAR
17546565,1 - CLEAR
17546421,1 - CLEAR
17547464,1 - CLEAR
17546482,1 - CLEAR
17546485,1 - CLEAR
17546587,1 - CLEAR
17546589,1 - CLEAR
17975578,2 - CLOUDY
17548561,1 - CLEAR
17548567,1 - CLEAR
17552568,1 - CLEAR
17548653,1 - CLEAR
17550479,3 - RAIN
17550480,3 - RAIN
17554464,2 - CLOUDY
17590327,1 - CLEAR
17552595,1 - CLEAR
17552597,2 - CLOUDY
17554490,2 - CLOUDY
17554499,1 - CLEAR
17554577,1 - CLEAR
17579476,1 - CLEAR
17559021,1 - CLEAR
17559022,1 - CLEAR
17559222,1 - CLEAR
17559230,1 - CLEAR
17559253,1 - CLEAR
17559540,2 - CLOUDY
17559544,1 - CLEAR
17559548,1 - CLEAR
17559552,1 - CLEAR
17559645,1 - CLEAR
17559646,3 - RAIN
17559653,2 - CLOUDY
17561059,1 - CLEAR
17567034,1 - CLEAR
17559702,3 - RAIN
17561099,2 - CLOUDY
17567036,1 - CLEAR
17583576,3 - RAIN
17567047,1 - CLEAR
17567050,1 - CLEAR
17567052,1 - CLEAR
17573346,1 - CLEAR
17577171,2 - CLOUDY
17609403,1 - CLEAR
17567054,1 - CLEAR
17567060,1 - CLEAR
17573470,1 - CLEAR
17610795,1 - CLEAR
17569437,2 - CLOUDY
17573562,1 - CLEAR
17573564,1 - CLEAR
17573565,1 - CLEAR
17573568,1 - CLEAR
17573570,1 - CLEAR
17573582,2 - CLOUDY
17573663,1 - CLEAR
17588732,1 - CLEAR
17611815,1 - CLEAR
17656255,1 - CLEAR
17678867,1 - CLEAR
17573674,1 - CLEAR
17573675,1 - CLEAR
17573685,1 - CLEAR
17573687,1 - CLEAR
17573692,1 - CLEAR
17579481,2 - CLOUDY
17597430,1 - CLEAR
17611816,1 - CLEAR
17846590,1 - CLEAR
17573791,6 - FOG
17575538,1 - CLEAR
17579483,1 - CLEAR
17574619,3 - RAIN
17575628,3 - RAIN
17577509,2 - CLOUDY
17579489,2 - CLOUDY
17577603,3 - RAIN
17579567,1 - CLEAR
17579574,1 - CLEAR
17583660,1 - CLEAR
17654974,1 - CLEAR
17583670,1 - CLEAR
17583752,1 - CLEAR
17583757,1 - CLEAR
17583758,1 - CLEAR
17583761,1 - CLEAR
17592627,1 - CLEAR
17597434,1 - CLEAR
17611817,1 - CLEAR
18004589,1 - CLEAR
17583762,1 - CLEAR
17583768,2 - CLOUDY
