Crash_ID,Crash_Date,Unit_Death_Count,Ethnicity,Gender
17492075,1/1/2020,0,A - ASIAN,1 - MALE
17492075,1/1/2020,0,H - HISPANIC,1 - MALE
17492088,1/1/2020,0,H - HISPANIC,1 - MALE
17492094,1/1/2020,0,H - HISPANIC,1 - MALE
17492094,1/1/2020,0,H - HISPANIC,1 - MALE
17534475,1/1/2020,0,B - BLACK,1 - MALE
17534475,1/1/2020,0,B - BLACK,2 - FEMALE
17534475,1/1/2020,0,B - BLACK,1 - MALE
17534475,1/1/2020,0,B - BLACK,1 - MALE
17493732,1/2/2020,0,W - WHITE,1 - MALE
17493732,1/2/2020,0,W - WHITE,1 - MALE
17493732,1/2/2020,0,W - WHITE,2 - FEMALE
17493750,1/2/2020,0,H - HISPANIC,1 - MALE
17497338,1/3/2020,0,H - HISPANIC,1 - MALE
17497341,1/3/2020,0,B - BLACK,1 - MALE
17500442,1/3/2020,0,B - BLACK,1 - MALE
17553388,1/3/2020,0,B - BLACK,1 - MALE
17497345,1/4/2020,0,B - BLACK,1 - MALE
17497345,1/4/2020,0,W - WHITE,1 - MALE
17497347,1/4/2020,0,W - WHITE,1 - MALE
17497347,1/4/2020,0,H - HISPANIC,2 - FEMALE
17497347,1/4/2020,0,H - HISPANIC,2 - FEMALE
17497347,1/4/2020,0,H - HISPANIC,1 - MALE
17497347,1/4/2020,0,H - HISPANIC,1 - MALE
17497347,1/4/2020,0,H - HISPANIC,1 - MALE
17497349,1/4/2020,0,W - WHITE,1 - MALE
17497427,1/4/2020,0,W - WHITE,1 - MALE
17497438,1/4/2020,0,H - HISPANIC,1 - MALE
17497438,1/4/2020,0,H - HISPANIC,1 - MALE
17497438,1/4/2020,0,H - HISPANIC,2 - FEMALE
17497438,1/4/2020,0,H - HISPANIC,1 - MALE
17514287,1/4/2020,0,W - WHITE,1 - MALE
17514287,1/4/2020,0,W - WHITE,1 - MALE
17497443,1/5/2020,0,99 - UNKNOWN,99 - UNKNOWN
